Designator,Footprint,Quantity,Value,LCSC Part #
"AC1, AC2",TestPoint_THTPad_D3.0mm_Drill1.5mm,2,AC ~ 230V,
C1,C0603,1,CL10A475KO8NNNC,C19666
"C2, C3, C4, C5",C0805,4,100nF 50V X7R,C49678
C6,CAP-TH_BD12.5-P5.00-D0.6-FD,1,33uF 500V 5R5-ESR,C443401
C7,CAP-TH_BD16.0-P7.50-D1.2-FD,1,450BXW47MEFR16X25,C440818
D1,MBS_L4.7-W4.0-P2.50-LS7.0-BL,1,MB26S_C475740,C475740
"D3, D4",DO-41_BD2.4-L4.7-P8.70-D0.8-RD,2,2EZ91D5,C5464809
"MH1, MH2, MH3, MH4, MH5",MountingHole_3.2mm_M3,5,MountHole,
"NX1, NX2",IN-8_NIXIE,2,IN-8,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R3, R4, R5, R6, R7, R8, R9",R0603,20,FRC0603F6340TS,C23138
R21,RES-TH_BD6.0-L17.5-P21.50-D0.8,1,CFR03SJ0153AA0_15k,C2905221
U1,PWRM-TH_IRM-03-5-DIP5,1,IRM-03-5,C6969425
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U8, U9",SMD-4_L4.6-W6.4-P2.54-LS10.0-BR,20,KAQY214ATLD,C136448
U2,FUSE-TH_L22.5-W10.8-P22.50_0031.8201.G,1,16A 20mm 500V 5mm Plugin Fuse,C3204125
U3,COMM-SMD_ESP32-ZERO,1,ESP32-ZERO,C5350143
U4,HALL-SENSOR_5P-P2.54-H13.5,1,QNHC3,
"U5, U6, U7",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,3,"74HC595D,118",C5947
